ICS209,citation_link,date,time,unique_fact
36,https://www.facebook.com/reedtimmer2.0/photos/a.169775739168/10157588406314169/,8/28/2019,11:25:00 AM,National Hurricane Center has upped their intensity forecast with a CATEGORY 3 Hurricane Dorian making landfall in central east coast of FL on Monday! Rapid intensification expected after passing near St Thomas later today with a bend to the west expected this weekend
36,https://fb.watch/i-9F1f6FvS/,8/29/2019,2:55:00 PM,Florida residents wait in a long line to stock up on sandbags as Hurricane Dorian could make landfall in the Sunshine State as a Category 4.
36,https://twitter.com/USATODAY/status/1167207298491715584?s=20,8/29/2019,6:48:00 PM,sustained winds of at least 111 mph – by Friday
35,https://twitter.com/weatherchannel/status/1167211074581598209?s=20,8/29/2019,7:03:00 PM,"We're not sure where #Dorian will make landfall, but we do know that this hurricane is going to be dangerous"
36,https://twitter.com/MJVentrice/status/1167211428681519106?s=20,8/29/2019,7:04:00 PM,Blue line represents the latest Calibrated ECMWF EPS track cone for Hurricane #Dorian.
36,https://twitter.com/TIME/status/1167214106480381959?s=20,8/29/2019,7:15:00 PM,Hurricane Dorian expected to hit Florida as a Category 4
34,https://twitter.com/MiamiMayor/status/1167214437557768193?s=20,8/29/2019,7:16:00 PM,Miami mayor joined City Manager as well as Commissioners and Willy Gort at our Emergency Operations Center to discuss how we are preparing for Hurricane #Dorian.
34,https://twitter.com/PBStateCollege/status/1167215746989973504?s=20,8/29/2019,7:21:00 PM,Palm Beach State College will be closed at 12 p.m. tomorrow in preparation for Hurricane Dorian. We encourage everyone to take a look at our Hurricane Preparedness Guide
38,https://twitter.com/Fox4Weather/status/1167216639244460033?s=20,8/29/2019,7:25:00 PM,all female crew aboard the Hurricane Hunter. These women are flying tonight's recon mission into Hurricane Dorian to gather critical data that gets input into computer models
38,https://twitter.com/TropicalTidbits/status/1167219071080960000?s=20,8/29/2019,7:34:00 PM,"A new reconnaissance aircraft is now entering Hurricane #Dorian to assess its intensity this evening."
34,https://twitter.com/WPLGLocal10/status/1167219603757510658?s=20,8/29/2019,7:36:00 PM,"As Hurricane Dorian disrupts travel plans, American Airlines waives fees to reschedule Florida flights"
36,https://twitter.com/EricHolthaus/status/1167220936095010822?s=20,8/29/2019,7:42:00 PM,"HWRF model, 72 hours from now. A formidable Category 4, half the size of Florida."
36,https://twitter.com/EricBraate/status/1167220921465262080?s=20,8/29/2019,7:42:00 PM,"HURRICANE DORIAN: Landfall looks to be somewhere between Melbourne and Miami.  NHC track, Euro & US Models all differ, but they all spell bad news for the whole Florida Peninsula"
34,https://twitter.com/RedCrossAZ/status/1167221165279997952?s=20,8/29/2019,7:43:00 PM,"RedCross is mobilizing hundreds of trained volunteers, and more than 30 tractor-trailer loads full of relief supplies to help people in the path of Hurricane Dorian. Locally, the AZ, NM & El Paso Region has sent 14 volunteers to FL"
28,https://www.facebook.com/reedtimmer2.0/posts/pfbid0jFTS4BUd5uJXFK3cUwZZwV77vYFBGyHxipvM37o6g6gmRvPhMxNnzNFCTdo3SngWl,8/29/2019,11:23:00 PM,‪HURRICANE DORIAN strengthening rapidly with minimum pressure down to 977 mb measured by Hurricane hunter aircraft with max sustained winds up to 105 mph! The updated NHC forecast now has a powerful category 4 with 140 mph sustained winds approaching central FL early next week
28,https://fb.watch/i-a0qbJIIL/,8/30/2019,12:29:00 AM,"Hurricane Dorian, which is forecast to become a highly dangerous Category 4 storm during the weekend, has hit US Virgin Islands"
34,https://twitter.com/AlachuaSchools/status/1167575293240008705?s=20,8/30/2019,7:10:00 PM,"Hurricane Dorian, Alachua County Public Schools will be closed on Tues, Sep 3"
38,https://twitter.com/Wx_Geek/status/1167576743919702017?s=20,8/30/2019,7:16:00 PM,"Aircraft Recon has found pressure reading of ~946 mb in the eye of Hurricane #Dorian. For reference, the 5 pm advisory from the NHC has it at 970 mb. Big drop in pressure"
36,https://twitter.com/AlaStormTracker/status/1167577256685985793?s=20,8/30/2019,7:18:00 PM,#Hurricane #Dorian going into hyper drive... down to estimated 946mb pending a sonde.  This bad boy dropped from 1000mb to est. ~946 mb in a 30 mile stretch.  Wild ride ahead...I expect a run at Cat 5
38,https://twitter.com/orlandosentinel/status/1167579171821776896?s=20,8/30/2019,7:25:00 PM,Hurricane Dorian prompts SunRail to suspend all service next week
36,https://twitter.com/EricBlake12/status/1167579300197011462?s=20,8/30/2019,7:26:00 PM,"#Dorian is quickly becoming the extremely powerful #hurricane that we feared, and it is headed for the NW Bahamas next"
38,https://twitter.com/MichaelRLowry/status/1167579629307289606?s=20,8/30/2019,7:27:00 PM,pressure reading of ~950 mb just now from NOAA Hurricane Hunters (5 PM estimate was 970 mb). Substantial pressure falls at the center of Hurricane #Dorian tonight. Significant strengthening is underway in an already dangerous storm
28,https://twitter.com/WeatherNation/status/1167580817108848640?s=20,8/30/2019,7:32:00 PM,Hurricane hunters measured 946 millibars in the eye of Dorian moments ago. The latest advisory showed 970 mb. This is a huge drop and shows a rapid intensification
38,https://twitter.com/AWritersLifeTBC/status/1167580930661343232?s=20,8/30/2019,7:32:00 PM, Shelves are empty. Gas stations are running out of gas too
36,https://twitter.com/DrKimWood/status/1167581184131514373?s=20,8/30/2019,7:33:00 PM,"I'm amazed by the spike in temperature (lower left plot, circled in blue) as the NOAA Hurricane Hunter aircraft penetrated #Dorian's eye. Warmer air indicates strong subsidence (sinking air) in the eye, a characteristic of intense hurricanes"
34,https://twitter.com/MyFLFamilies/status/1167583071471845376?s=20,8/30/2019,7:41:00 PM,"To assist families as they prepare for Hurricane Dorian, DCF has been approved by the USDA to release September food assistance benefits to all 67 counties."
38,https://twitter.com/AndySlater/status/1167584153262538752?s=20,8/30/2019,7:45:00 PM,Hurricane Dorian at 5 p.m. Winds: 115 mph Pressure: 970 mb // Hurricane Dorian at 8 p.m. Winds: 125 mph Pressure: 950 mb
38,https://twitter.com/nytimes/status/1167584051399725056?s=20,8/30/2019,7:45:00 PM,"Friday evening, Dorian was gaining strength over the Atlantic Ocean, a Category 3 storm with winds of 115 mph"
28,https://twitter.com/7Weather/status/1167584815866097667?s=20,8/30/2019,7:48:00 PM,8 PM Advisory issued.  Hurricane Dorian strengthened again.   Winds up to 125 mph
36,https://twitter.com/MorganKIRO7/status/1167585614482628609?s=20,8/30/2019,7:51:00 PM,Hurricane #Dorian looks on its way to becoming Category 4 very soon. Latest advisory: 125 max sustained winds but Hurricane Hunters have found stronger. Incredible 20 millibar drop in the low pressure center of the storm. Rapid intensification underway
34,https://www.facebook.com/jeff.galloway.94/posts/pfbid02mMLKo8rwiMZNe9PrktYdmALH3wxxKo6Lu9jR2ZGN3XBaZJRzhpwbrqt9skAQP4nMl,8/31/2019,8:18:00 AM,State of Ohio- Butler County Incident Management Team heading to Florida for Hurricane Dorian
28,https://www.facebook.com/MattDevittWeather/photos/a.331079453642527/2444505248966593/,8/31/2019,10:58:00 AM,"11 AM UPDATE: Hurricane Dorian models have consistently shifted east over the past 24 hours. While changes still do remain possible in final track, this is a positive enough trend for the NHC to remove SW Florida from the cone"
36,https://fb.watch/i-bhbxLbFR/,8/31/2019,4:14:00 PM,"The National Hurricane Center warned of a ""notable change"" to Hurricane Dorian's possible path into Tuesday, stressing that it could make landfall in Florida, Georgia or the Carolinas. Most of Florida remains in the so-called ""cone of uncertainty."""
35,https://twitter.com/NWSWakefieldVA/status/1167927116412772352?s=20,8/31/2019,6:28:00 PM,"Depending on the exact track of Hurricane Dorian, we have the potential to see direct impacts with regards to heavy rain, wind, and storm surge. However, immediate concerns are the increase risk for Rip Currents at the beaches beginning tomorrow"
36,https://twitter.com/NWSKansasCity/status/1167933427795906560,8/31/2019,6:53:00 PM,"""Here's a look at Hurricane Dorian via 1-min GOES-16 infrared satellite imagery. Pretty amazing detail, wouldn't you say?  The storm remains a dangerous category 4 storm with maximum sustained winds of 150 mph."""
36,https://twitter.com/WeatherNation/status/1167935093794471943?s=20,8/31/2019,7:00:00 PM,"The waves were getting larger on Elbow Cay in the northern Bahamas on Saturday.  If Hurricane Dorian stays on its present course, Elbow Cay could be directly impacted by the storm on Sunday and Monday.  Waves could reach heights of 20 feet!"
28,https://twitter.com/oliversalasl/status/1167938533505433605?s=20,8/31/2019,7:13:00 PM,Hurricane Dorian: South Carolina declares state of emergency as storm shifts course
28,https://twitter.com/breakingweather/status/1167940491293286400?s=20,8/31/2019,7:21:00 PM,"Hurricane Dorian slowed its forward progress Saturday, but increased its sustained wind speed, nearing Category 5 force"
35,https://twitter.com/Thomas1774Paine/status/1167942660910284805?s=20,8/31/2019,7:30:00 PM,Florida urged to plan for 7 days without power as Hurricane Dorian approaches
28,https://twitter.com/KatieWallsTV/status/1167942752568430594?s=20,8/31/2019,7:30:00 PM,"Hurricane #Dorian remains a powerful Cat. 4 storm as it moves toward the Bahamas, where Hurricane Warnings are in effect. A Tropical Storm Watch has been issued for Deerfield Beach to Sebastian Inlet in Florida."
38,https://twitter.com/GMA/status/1167942644263092227?s=20,8/31/2019,7:30:00 PM,picked up strength early Saturday and also changed direction -- with the current track forecast to possibly make landfall in the Carolinas late Wednesday
36,https://twitter.com/nytimesworld/status/1167943164444889088?s=20,8/31/2019,7:32:00 PM,Storm surges from Hurricane Dorian are expected to exceed 15 feet in the Bahamas
36,https://twitter.com/JackSillin/status/1167944214409175040?s=20,8/31/2019,7:36:00 PM,"two Hurricane Hunter planes investigating #Dorian this evening. The second has found a similar central pressure (942.5mb) but significantly higher winds within the NW eyewall (>140kts). If the NHC deems these values reliable, Dorian would be a Category 5 storm"
36,https://twitter.com/andrewwulfeck/status/1167945340512690177,8/31/2019,7:40:00 PM,"""Models have been shifting west this afternoon and now several either make landfall or come close to making a Florida landfall. This model (HWRF) jumped around 150 miles from its previous run to show major hurricane #Dorian making landfall on Tuesday evening near Cape Canaveral."""
36,https://twitter.com/andrewwulfeck/status/1167945340512690177?s=20,8/31/2019,7:40:00 PM,model (HWRF) jumped around 150 miles from its previous run to show major hurricane #Dorian making landfall on Tuesday evening near Cape Canaveral.
28,https://fb.watch/i-aSMj2wXG/,9/1/2019,8:19:00 AM,"Hurricane Dorian has finally strengthened to a Cat. 5 Hurricane as it approaches the Abaco Islands. This will be devastating for parts of the Bahamas w/ life-threatening storm surge, destructive winds & likely flash flooding"
36,https://twitter.com/USArmyNorth/status/1168178087755943941?t=gN8FW3djMWGqnVB0yDcZPA&s=19&fbclid=IwAR0d3dDaEJlno5LtYdRL2ByqKbBWUezkdqNnb6taiIkQFlBA57Wp6n2jkm8,9/1/2019,11:05:00 AM,#DYK we have a Super Sentinel we use to respond to disasters and emergencies? Its headed east for a potential Hurricane #Dorian response. We will use it to set up a command post if we're requested to help the response effort.
40,https://abcnews.go.com/Politics/mcaleenan-fema-headquarters-talks-dorians-approach-us-mainland/story?id=65314932,9/1/2019,11:20:00 AM,Multiple cabinet secretaries are briefed by FEMA acting director
40,https://abcnews.go.com/Politics/mcaleenan-fema-headquarters-talks-dorians-approach-us-mainland/story?id=65314932,9/1/2019,11:20:00 AM,"""We have 3,000 people already deployed across the federal government agencies for this storm,"" he said."
39,https://nypost.com/2019/09/01/hurricane-dorian-acting-fema-head-says-agency-is-short-staffed-but-ready-for-storm/,9/1/2019,12:11:00 PM,"Acting FEMA Director Pete Gaynor said Sunday that his agency is still short 2,000 reservists, but said it shouldn’t impact the government’s ability to handle Hurricane Dorian, which was upgraded to a Category 5 storm early Sunday."
31,https://twitter.com/NHC_Atlantic/status/1168223498180808706?t=mP3owMCeScw_nuYpDYOQNg&s=19&fbclid=IwAR14v4Ugf3ptMRzeGo2lYhOg8XlPt_pDfc8_KX9ux2CF7wbJO9xw8xj6rI0,9/1/2019,2:06:00 PM,The eye of #Dorian has made a second landfall at 2 pm EDT (1800 UTC) on Great Abaco Island near Marsh Harbour.  Maximum sustained winds were 185 mph at the time. This is tied for the strongest Atlantic hurricane landfall on record with the 1935 Labor Day hurricane.
32,https://www.foxnews.com/us/hurricane-dorian-bahamas-warning-florida-carolinas,9/1/2019,2:08:00 PM,"The storm made the first landfall at 12:40 p.m. in Elbow Cay and is located about 185 miles east of West Palm Beach, Florida."
35,https://www.foxnews.com/us/hurricane-dorian-bahamas-warning-florida-carolinas,9/1/2019,2:08:00 PM,"Wind gusts of over 220 mph and a storm surge of 18 to 23 feet above normal tide levels with higher ""destructive waves"" are forecast to continue for several hours over the affected areas. T"
38,https://www.foxnews.com/us/hurricane-dorian-bahamas-warning-florida-carolinas,9/1/2019,2:08:00 PM,"Government spokesman Kevin Harris said Sunday that Dorian is expected to impact some 73,000 residents and 21,000 homes"
34,https://www.foxnews.com/us/hurricane-dorian-bahamas-warning-florida-carolinas,9/1/2019,2:08:00 PM,"Officials in the Bahamas said Sunday that dozens of people were ignoring evacuation orders, and they were warned that they were placing their lives in danger."
35,https://www.foxnews.com/us/hurricane-dorian-bahamas-warning-florida-carolinas,9/1/2019,2:08:00 PM,"Between 12 to 24 inches of rain is forecast for the northwestern Bahamas, with isolated amounts up to 30 inches, according to the NHC. Dorian is also forecast to bring a life-threatening storm surge with water levels raised as much as 15 to 20 feet above normal in areas of onshore winds on the Abaco Islands and Grand Bahama Island."
30,https://fb.watch/i-bbMnWe3V/,9/1/2019,4:13:00 PM,Marsh Harbour is destroyed from Hurricane Dorian. They have another round to go because this was filmed during the eye of the storm
34,https://fb.watch/i-asvP-AGg/,9/1/2019,6:16:00 PM,READY TO HELP: Hundreds of utility trucks from 34 states are now in Florida to help restore power in preparation for Hurricane Dorian
30,https://twitter.com/AndreaCudaCine/status/11683052156673556499,9/1/2019,7:30:00 PM,"""I've  been working on a show out in the Bahamas, and they are being just ravaged by Hurricane Dorian. I don't think there is a lot of coverage in the local media of the damage that is happening here, because we will mainly here about Florida."""
31,https://twitter.com/NOAASatellitePA/status/1168305570824314882,9/1/2019,7:32:00 PM,"UPDATE: NOAA's #GOES16 watches the sun set on Cat. 5 #HurricaneDorian, as it slammed into Great Abaco today. With wind gusts more than 220 mph & storm surge 18 to 23 feet above normal, @NHC_Atlantic says #Dorian's western eyewall is approaching eastern #GrandBahamaIsland."
31,https://twitter.com/CelinaDomEnergy/status/1168307504364888064,9/1/2019,7:39:00 PM,"KTSM's Satellite is showing, Hurricane Dorian's 'Eye' made landfall on Marsh Harbour around 10 a.m. taking more than 7 hours to move through. Next hit for the eye, Freeport.  Dorian its self is 65 miles away from Florida."
28,https://twitter.com/OfficialJoelF/status/1168312149527138306,9/1/2019,7:58:00 PM,"""8 PM UPDATE: Hurricane Dorian maintains same max wind speed of 185 MPH. Still moving west at 5 MPH.  NHC forecasts move west to west-northwest will occur over next 1-2 days. After that, a turn northwest is expected. Here’s a satellite loop of Dorian"""
34,https://www.facebook.com/bestfriendsanimalsociety/posts/pfbid0LiKZGT47RuX9dR3ZFSMgE46yc6RihKEee3o9dxrBrS7dYbGkm6NLFiHC5e6ZokAal,9/1/2019,8:23:00 PM,"Thanks to shelters and volunteers working together all across the east coast, hundreds of animals are being transported out of harm's way — just like these animals leaving Charleston Animal Society to rescues further north or inland"
